-> (-50, 50), degree: 225, range: 26-156
-> (-50, 49), degree: 226, range: 26-156
-> (-50, 48), degree: 226, range: 26-156
-> (-50, 47), degree: 227, range: 26-156
-> (-50, 46), degree: 227, range: 26-156
-> (-50, 45), degree: 228, range: 26-156
-> (-50, 44), degree: 229, range: 26-156
-> (-50, 43), degree: 229, range: 26-156
-> (-50, 42), degree: 230, range: 26-156
-> (-50, 41), degree: 231, range: 26-156
-> (-50, 40), degree: 231, range: 26-156
-> (-50, 39), degree: 232, range: 26-156
-> (-50, 38), degree: 233, range: 26-156
-> (-50, 37), degree: 233, range: 26-156
-> (-50, 36), degree: 234, range: 26-156
-> (-50, 35), degree: 235, range: 26-156
-> (-50, 34), degree: 236, range: 26-156
-> (-50, 33), degree: 237, range: 26-156
-> (-50, 32), degree: 237, range: 26-156
-> (-50, 31), degree: 238, range: 26-156
-> (-50, 30), degree: 239, range: 26-156
-> (-50, 29), degree: 240, range: 26-156
-> (-50, 28), degree: 241, range: 26-156
-> (-50, 27), degree: 242, range: 26-156
-> (-50, 26), degree: 243, range: 26-156
-> (-50, 25), degree: 243, range: 26-156
-> (-50, 24), degree: 244, range: 26-156
-> (-50, 23), degree: 245, range: 26-156
-> (-50, 22), degree: 246, range: 26-156
-> (-50, 21), degree: 247, range: 26-156
-> (-50, 20), degree: 248, range: 26-156
-> (-50, 19), degree: 249, range: 26-156
-> (-50, 18), degree: 250, range: 26-156
-> (-50, 17), degree: 251, range: 26-156
-> (-50, 16), degree: 252, range: 26-156
-> (-50, 15), degree: 253, range: 26-156
-> (-50, 14), degree: 254, range: 26-156
-> (-50, 13), degree: 255, range: 26-156
-> (-50, 12), degree: 257, range: 26-156
-> (-50, 11), degree: 258, range: 26-156
-> (-50, 10), degree: 259, range: 26-156
-> (-50, 9), degree: 260, range: 26-156
-> (-50, 8), degree: 261, range: 26-156
-> (-50, 7), degree: 262, range: 26-156
-> (-50, 6), degree: 263, range: 26-156
-> (-50, 5), degree: 264, range: 26-156
-> (-50, 4), degree: 265, range: 26-156
-> (-50, 3), degree: 267, range: 26-156
-> (-50, 2), degree: 268, range: 26-156
-> (-50, 1), degree: 269, range: 26-156
 × (-50, 0), degree: 90, range: 26-156
-> (-50, -1), degree: 269, range: 26-156
-> (-50, -2), degree: 268, range: 26-156
-> (-50, -3), degree: 267, range: 26-156
-> (-50, -4), degree: 265, range: 26-156
-> (-50, -5), degree: 264, range: 26-156
-> (-50, -6), degree: 263, range: 26-156
-> (-50, -7), degree: 262, range: 26-156
-> (-50, -8), degree: 261, range: 26-156
-> (-50, -9), degree: 260, range: 26-156
-> (-50, -10), degree: 259, range: 26-156
-> (-50, -11), degree: 258, range: 26-156
-> (-50, -12), degree: 257, range: 26-156
-> (-50, -13), degree: 255, range: 26-156
